depth,snr_db,trial,truth_msg,decoded_msg,correct
2,0,16,CQ K1JT FN20,,0
1,0,17,CQ K1JT FN20,,0
2,0,17,CQ K1JT FN20,,0
1,0,18,CQ K1JT FN20,,0
2,0,18,CQ K1JT FN20,,0
1,0,19,CQ K1JT FN20,,0
2,0,19,CQ K1JT FN20,,0
1,0,20,CQ K1JT FN20,,0
2,0,20,CQ K1JT FN20,,0
1,0,21,CQ K1JT FN20,,0
2,0,21,CQ K1JT FN20,,0
1,0,22,CQ K1JT FN20,,0
2,0,22,CQ K1JT FN20,,0
1,0,23,CQ K1JT FN20,,0
2,0,23,CQ K1JT FN20,,0
1,0,24,CQ K1JT FN20,,0
2,0,24,CQ K1JT FN20,,0
1,0,25,CQ K1JT FN20,,0
2,0,25,CQ K1JT FN20,,0
1,0,26,CQ K1JT FN20,,0
2,0,26,CQ K1JT FN20,,0
1,0,27,CQ K1JT FN20,,0
2,0,27,CQ K1JT FN20,,0
1,0,28,CQ K1JT FN20,,0
2,0,28,CQ K1JT FN20,,0
1,0,29,CQ K1JT FN20,,0
2,0,29,CQ K1JT FN20,,0
